field_1,id,latitude,longitude,place_town,place_coun,kc_af1,kc_am1,kc_pm1,pc_af1,pc_am1,pc_pm1,po_af1,po_am1,po_pm1,tac_af1,tac_am1,tac_pm1
"129","68579840",49.315170288099999,-122.983406066699999,,Greater Vancouver,,,,,,,,,,,,
"130","68579958",49.336116790600002,-123.103820800600005,,Greater Vancouver,,,,,,,,,,,,
"132","68580064",49.334850311099999,-123.108795165800004,,Greater Vancouver,,,,,,,,,,,,
"134","68580149",49.335449218599997,-123.110595703100003,,Greater Vancouver,,,,,,,,,,,,
"135","68580268",49.334785461400003,-123.108772277800000,,Greater Vancouver,,,,,,,,,,,,
"136","68615753",48.788450779999998,-123.259262730000003,,Capital,,,,,,,,,,,,
"137","68615871",48.788603739999999,-123.259026460000001,,Capital,,,,,,,,,,,,
"138","68622048",49.316764831400000,-122.952247619399998,,Greater Vancouver,,,,,,,,,,,,
"139","68622120",49.316627502199999,-122.951820373299995,,Greater Vancouver,,,,,,,,,,,,
"140","68628574",48.788576880000001,-123.258773829999996,,Capital,,,,,,,,,,,,
"141","68628652",48.788586870000003,-123.258403599999994,,Capital,,,,,,,,,,,,
"142","68629089",48.786028219999999,-123.255619920000001,,Capital,,,,,,,,,,,,
