SDOT_UNIT_,SPR_UNIT_I,SDCI_UNIT_,SPU_TREE_U,SPU_PLANT_,PEST_UNIT_,SOURCE_DEP,SCIENTIFIC,COMMON_NAM,DBH,OWNERSHIP,UNITDESC,GLOBALID,kc_am1,kc_af1,kc_pm1,lat,lon
TRE-1103453,,,,,TRE-1103453,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"27",Private,2401 NW 98TH ST,e2dbe320-7eaf-4057-a41a-e20ca241af04,63.254676818847656,89.520065307617188,86.730445861816406,-122.3879240000,47.7000509100
TRE-1103458,,,,,TRE-1103458,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"30",Private,9810 MARMOUNT DR NW,77c0bdc5-352f-4ff6-89bd-65c81d82e877,63.369987487792969,88.902351379394531,86.533103942871094,-122.3895080000,47.7005973800
TRE-1103459,,,,,TRE-1103459,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"30",Private,9810 MARMOUNT DR NW,c1c1d427-a499-4301-93a1-bc42bccdd906,63.369987487792969,88.902351379394531,86.533103942871094,-122.3895430000,47.7006141800
TRE-1103460,,,,,TRE-1103460,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"21",Private,9810 MARMOUNT DR NW,bc19f914-8d67-4602-9d5a-3f9fadbac796,63.471885681152344,88.917961120605469,86.559745788574219,-122.3895700000,47.7006228700
TRE-1103475,,,,,TRE-1103475,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"30",Private,2660 NW 95TH ST,8f6ebef5-ae47-4f1a-89b3-3bf7f4ba4f41,62.461765289306641,88.726493835449219,85.339241027832031,-122.3922280000,47.6979725500
TRE-1103477,,,,,TRE-1103477,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"20",Private,2660 NW 95TH ST,37ae13e5-2071-45be-9afd-e352c53e17b5,62.653068542480469,88.708969116210938,85.762451171875014,-122.3922270000,47.6982355400
TRE-1103481,,,,,TRE-1103481,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"16",Private,9507 27TH AVE NW,c0eb00d4-5ab9-44a2-ba69-f61d93a25365,62.690589904785163,88.791755676269531,85.760620117187500,-122.3924240000,47.6981522600
TRE-1103482,,,,,TRE-1103482,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"16",Private,9507 27TH AVE NW,7dadf0c8-67df-4b5f-adce-3d276bdf5b70,62.690589904785163,88.791755676269531,85.760620117187500,-122.3924180000,47.6981834500
TRE-1103483,,,,,TRE-1103483,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"16",Private,9507 27TH AVE NW,7bd84ce9-d56c-40f7-90d8-7f0a91422cf2,62.792259216308594,88.763427734375014,85.889320373535156,-122.3924250000,47.6982076400
TRE-1103485,,,,,TRE-1103485,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"20",Private,2651 NW 95TH ST,b631f284-68d7-4e59-b58a-7cbdbe6a5d92,62.433147430419922,88.731292724609375,85.358650207519531,-122.3926610000,47.6978180900
TRE-1103486,,,,,TRE-1103486,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"20",Private,2651 NW 95TH ST,14e3b684-d38a-4aec-bb55-2c4c55f0d565,62.510925292968750,88.713165283203125,85.324943542480469,-122.3927550000,47.6978209100
TRE-1103487,,,,,TRE-1103487,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"9",Private,9404 28TH AVE NW,3c10aca6-bbbf-4747-91f5-382c15e00853,62.580169677734375,88.768867492675781,85.404754638671875,-122.3929350000,47.6978218000
TRE-1103503,,,,,TRE-1103503,Seattle Department of Transportation,Thuja plicata `Zebrina`,Zebra Cedar,"17",Private,2804 NW 93RD ST,4ae23720-a0a2-42c7-b3c1-d2816a96f37a,62.057834625244141,88.627075195312500,84.864990234375014,-122.3930130000,47.6971303300
TRE-1103505,,,,,TRE-1103505,Seattle Department of Transportation,Thuja plicata `Zebrina`,Zebra Cedar,"17",Private,2804 NW 93RD ST,2f72d17a-c287-44db-9301-62db195cb993,61.962181091308594,88.560935974121094,84.750907897949219,-122.3930120000,47.6971133000
TRE-1103506,,,,,TRE-1103506,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"4",Private,2651 NW 95TH ST,615852c4-d992-425f-bac6-43da4346109f,62.302581787109375,88.623916625976562,85.176620483398438,-122.3922580000,47.6978326300
TRE-1103507,,,,,TRE-1103507,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"20",Private,2651 NW 95TH ST,86e6f87d-df0a-4b56-beb4-31790cefdccf,62.433147430419922,88.731292724609375,85.358650207519531,-122.3926610000,47.6978180900
TRE-1103508,,,,,TRE-1103508,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"12",Private,9510 28TH AVE NW,3f72c967-682b-49bf-9c25-3296d702b1cf,62.662857055664062,88.771804809570327,85.557929992675781,-122.3928750000,47.6979278900
TRE-1103509,,,,,TRE-1103509,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"12",Private,9510 28TH AVE NW,c5d1a09d-3801-4bcc-93cf-921f2ee0c703,62.662857055664062,88.771804809570327,85.557929992675781,-122.3928990000,47.6979284600
TRE-1103510,,,,,TRE-1103510,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"12",Private,9510 28TH AVE NW,37be289c-b90e-4d2c-9591-d6bff0883f88,62.662857055664062,88.771804809570327,85.557929992675781,-122.3929130000,47.6979275500
TRE-1103511,,,,,TRE-1103511,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"12",Private,9510 28TH AVE NW,eabfd227-600a-4e61-8023-7c1d20611d75,62.662857055664062,88.771804809570327,85.557929992675781,-122.3929330000,47.6979288800
TRE-1103512,,,,,TRE-1103512,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"12",Private,9510 28TH AVE NW,aaebe26f-b8b3-4bb9-a050-be426059cda1,62.662857055664062,88.771804809570327,85.557929992675781,-122.3929460000,47.6979277500
TRE-1103513,,,,,TRE-1103513,Seattle Department of Transportation,Thuja plicata,Western Red Cedar,"12",Private,9510 28TH AVE NW,9b84cd1d-f0d8-447c-94cd-46a8f39b2a97,62.770069122314453,88.773345947265625,85.660835266113281,-122.3929610000,47.6979264200
